行为类别,Index,计量项,计量说明,计量单位,碳排放因子,排放因子单位
能源消费,用电量,用电量,,kWh,0.53,kg/kWh
能源消费,用水量,用水量,,m^3,1.85,kg/m^3
能源消费,天然气用量,天然气用量,,m^3,2.8,kg/m^3
能源消费,煤气用量,煤气用量,容量为14.5公斤一罐的液化石油气,罐,44.95,kg/罐
,,,,,,
交通出行,飞机,乘坐飞机行驶距离,,km,0.088,kg/km
交通出行,火车,乘坐火车行驶距离,,km,0.018,kg/km
交通出行,公交车,乘坐公交车行使距离,柴油公交车,km,0.015,kg/km
交通出行,地铁,乘坐地铁行驶距离,,km,0.015,kg/km
交通出行,轮船,水运行驶距离,,km,0.128,kg/km
交通出行,电梯,乘坐电梯层数,一般住宅电梯,层,0.005,kg/层
,,,,,,
饮食习惯,主食,主食摄入量,,g,0.00137,kg/g
饮食习惯,牛肉,肉食（牛肉）摄入量,,g,0.02978,kg/g
饮食习惯,羊肉,肉食（羊肉）摄入量,,g,0.02437,kg/g
饮食习惯,猪肉,肉食（猪肉）摄入量,,g,0.00466,kg/g
饮食习惯,鸡肉,肉食（鸡肉）摄入量,,g,0.01137,kg/g
饮食习惯,牛奶,牛奶饮用量,以一盒牛奶250mL计,盒,0.2675,kg/盒
饮食习惯,鸡蛋,鸡蛋食用量,一个鸡蛋一般为50g,个,0.1775,kg/个
,,,,,,
购物行为,牛仔服饰,购买牛仔服饰数量,,件,12.21,kg/件
购物行为,棉质服装,购买棉质服装数量,,件,18.12,kg/件
购物行为,T恤衫,购买T恤衫数量,,件,13.54,kg/件
购物行为,羽绒服饰,购买羽绒服饰数量,,件,7.91,kg/件
购物行为,鞋子,购买鞋子数量,,双,7.47,kg/双
购物行为,空调,购买空调数量,,台,89.16,kg/台
购物行为,洗衣机,购买洗衣机数量,,台,328.77,kg/台
购物行为,电冰箱,购买电冰箱数量,,台,166.79,kg/台
购物行为,微波炉,购买微波炉数量,,台,160,kg/台
购物行为,热水器,购买热水器数量,,台,68.69,kg/台
购物行为,吸尘器,购买吸尘器数量,,台,45,kg/台
购物行为,电视机,购买电视机数量,,台,30.08,kg/台
购物行为,手机,购买手机数量,,台,49.18,kg/台
购物行为,笔记本电脑,购买笔记本电脑数量,,台,448.44,kg/台
购物行为,平板电脑,购买平板电脑数量,,台,177.83,kg/台
购物行为,台式电脑,购买台式电脑数量,,台,830.77,kg/台
,,,,,,
废物排放,厨余垃圾,厨余垃圾,,,4.44,kg/kg
废物排放,其他垃圾,其他生活垃圾,,,353.19,kg/kg
废物排放,生活污水,生活污水,如无特殊情况生活污水量可视为与能源消费中的用水量相等,,0.74,kg/m^3
